latitude,longitude,Bus_lon,Bus_lat
-6.1442133,53.2473376,,
-6.151994,53.261301,,
-6.392347813,53.3773894,,
-6.179702282,53.24781921,,
-6.177318,53.24782,,
-6.178650856,53.24754958,,
-6.178650856,53.24754958,,
-6.178650856,53.24754958,,
-6.3628851,53.3671693,,
-6.3673502,53.38087,,
-6.402829885,53.37357727,,
-6.367594,53.371248,,
-6.367124,53.382113,,
-6.3393014,53.3727265,,
-6.336233,53.373164,,
-6.402722718,53.37215514,,
-6.339690915,53.37233649,,
-6.3706031,53.3720781,,
-6.402224,53.372686,,
-6.363798,53.374702,,
-6.401902,53.376992,,
-6.401656,53.376645,,
-6.3628851,53.3671693,,
-6.3462167,53.346636,,
-6.3452622,53.3493249,,
-6.346273,53.346079,,
-6.344352397,53.34840921,,
-6.345679853,53.34983251,,
-6.3796487,53.3364602,,
-6.379538,53.3368541,,
-6.3811998,53.3377332,,
-6.275371313,53.34045866,,
-6.273171902,53.33926557,,
-6.271138,53.342332,,
-6.275770159,53.33776066,,
-6.274781227,53.34285274,,
-6.2710628,53.3434826,,
-6.4254783,53.282338,,
-6.424485886,53.28322465,,
-6.417708,53.277482,,
-6.42640278,53.2828486,,
-6.3034682,53.2982762,,
-6.425770162,53.28322547,,
-6.370611191,53.27309105,,
-6.4277612,53.2832416,,
-6.3703408,53.2736464,,
-6.4183737,53.2780293,,
-6.418180581,53.27818326,,
-6.4145233,53.277086,,
-6.4288329,53.2849836,,
-6.423837705,53.28432568,,
-6.4201423,53.2969872,,
-6.422734022,53.28359253,,
-6.181171917,53.40407402,,
-6.182663441,53.39984817,,
-6.181247234,53.40043667,,
-6.181569099,53.39945156,,
-6.1801432,53.404221,,
-6.182540059,53.39987375,,
-6.1790387,53.4047914,,
-6.1801432,53.404221,,
-6.180496,53.404445,,
-6.401274,53.325236,,
-6.3980476,53.3443936,,
-6.382713318,53.32775641,,
-6.393099,53.3243492,,
-6.393099,53.3243492,,
-6.393125,53.324418,,
-6.393125,53.324418,,
-6.4005664,53.3243671,,
-6.394804,53.326247,,
-6.382627487,53.32783331,,
